prefix,cluster_id,env_proto,Payment,Get Triage Number,Measure Vital Signs,General Medicine Examination,Eye Examination,Dental Examination,Chest X-ray,Cardiac Ultrasound,Conclusion,DEXA Bone Density Scan,General Ultrasound,ENT Endoscopy,Electrocardiogram (ECG),Urine Test,Post-bronchodilator Spirometry,Blood Test,Breast Examination,In-depth Eye Examination,ENT Examination,Gynecological Examination
"('Registration', 'Payment', 'Get Triage Number')",10,"[0.111, 0.044, 0.022, 0.111, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",0.0,0.0,2.709727836779198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",11,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.333, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,2.7690363317945295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",12,"[0.111, 0.0, 0.022, 0.222, 0.444, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",0.0,0.0,2.395518772424059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",13,"[0.0, 0.0, 0.0, 0.111, 0.389, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.222, 0.055]",0.0,0.0,1.9840979043273708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",14,"[1.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.9683169921315418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",15,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.11, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.149, 0.444, 0.0, 0.0, 0.667, 0.0, 0.0]",0.0,0.0,2.352141940447829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",16,"[0.25, 0.1, 0.05, 0.25, 1.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.8848882877127411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",17,"[0.25, 0.1, 0.0, 0.25, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,1.7943359900283533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",18,"[0.0, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.0, 0.0, 0.222, 0.0]",0.0,0.0,0.8139830168237646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",19,"[0.111, 0.044, 0.022, 0.111, 0.444, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",0.0,0.0,2.312855609047337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",20,"[0.167, 0.0, 0.0, 0.167, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 1.0, 0.0, 0.667]",0.0,0.0,0.8900321172644527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",21,"[0.0, 0.0, 0.0, 0.111, 0.334, 0.083, 0.333, 0.0, 0.166, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.0, 0.111]",0.0,0.0,1.7908120065089939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",22,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.444, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.667, 0.667, 0.0, 0.0]",0.0,0.0,2.864691326322971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",23,"[0.333, 0.133, 0.0, 0.168, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,1.8245422928263642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",24,"[0.111, 0.044, 0.011, 0.111, 0.444, 0.0, 0.0, 0.0, 0.0, 0.083, 0.0, 0.0, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.0, 0.055, 0.0]",0.0,0.0,0.9068107665007238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",25,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.667, 0.0, 0.0]",0.0,0.0,1.5350208421582896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",26,"[0.0, 0.066, 0.022, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.22, 0.444, 0.0, 1.0, 0.112, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.8087540778236507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",27,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,2.432410363851248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",28,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.0, 0.0, 0.333, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.444, 0.0, 0.667, 0.0, 0.0]",0.0,0.0,2.565529238997061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",29,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.8757725911978348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number')",30,"[0.0, 0.0, 0.0, 0.111, 0.444, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.667, 0.667, 0.0, 0.0]",0.0,0.0,0.7069472142341179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",0,"[0.0, 0.044, 0.015, 0.111, 0.444, 0.223, 0.333, 0.333, 0.055, 0.0, 0.0, 0.444, 0.667, 1.0, 0.222, 0.444, 0.444, 0.0, 0.0, 0.074, 0.0]",3.0703639709811554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",1,"[0.111, 0.044, 0.022, 0.111, 0.444, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.0, 0.444, 0.0, 0.667, 0.0, 0.0]",1.7370598674579736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",2,"[0.352, 0.074, 0.008, 0.296, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.3120016441801017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",3,"[0.0, 0.051, 0.016, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.255, 0.444, 0.0, 1.0, 0.127, 0.444, 0.444, 0.0, 0.0, 0.0, 0.0]",2.220425454791526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",4,"[0.167, 0.067, 0.033, 0.167, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 1.0, 0.0, 0.667]",2.458082036530483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",5,"[0.167, 0.067, 0.005, 0.215, 0.333, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.096, 0.0, 0.0, 0.0, 1.0, 0.0, 0.333]",2.510966612635765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",6,"[0.111, 0.03, 0.011, 0.111, 0.444, 0.0, 0.0, 0.0, 0.0, 0.112, 0.0, 0.0, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.0, 0.075, 0.0]",2.5333508598874057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",7,"[0.111, 0.044, 0.007, 0.111, 0.444, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.0, 0.0]",3.6204859552788546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",8,"[0.111, 0.044, 0.004, 0.111, 0.518, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.667, 0.0, 0.0]",2.969420941501022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",9,"[0.111, 0.015, 0.0, 0.111, 0.444, 0.0, 0.0, 0.223, 0.0, 0.11, 0.0, 0.0, 0.0, 1.0, 0.149, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",2.395371592009449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",10,"[0.167, 0.067, 0.0, 0.167, 0.333, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 1.0, 0.0, 0.333]",1.7534645434145464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",11,"[0.25, 0.1, 0.0, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.387701152739969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",12,"[0.0, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.444, 0.0, 1.0, 0.0, 0.0, 0.444, 0.0, 0.0, 0.0, 0.0]",2.125271845242374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",13,"[0.111, 0.033, 0.003, 0.111, 0.444, 0.084, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.111, 0.389, 0.0, 0.0, 0.667, 0.0, 0.0]",3.65120886120725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",14,"[0.069, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.334, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.0, 0.0]",4.022174979824198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",15,"[0.167, 0.067, 0.009, 0.167, 0.667, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2.510405019061187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",16,"[0.111, 0.044, 0.007, 0.111, 0.444, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.222, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",3.8035462932992914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",17,"[0.111, 0.044, 0.006, 0.111, 0.444, 0.0, 0.166, 0.0, 0.0, 0.333, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0]",3.6056179653905023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",18,"[0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.952209958015851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",19,"[0.25, 0.1, 0.012, 0.25, 1.0, 0.0, 0.0, 0.75, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.4425939473481537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",20,"[0.333, 0.133, 0.0, 0.333, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.7955118630149107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",21,"[0.0, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.0, 0.0, 0.222, 0.0]",2.2964620432302345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",22,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.529188828345145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",23,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.444, 0.0, 0.667, 0.0, 0.0, 0.0]",1.701428621709797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",24,"[0.167, 0.0, 0.0, 0.167, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.667, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.667]",0.9190484171894284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",25,"[0.333, 0.133, 0.067, 0.333, 0.667, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9467983499312672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",26,"[0.111, 0.044, 0.0, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 0.444, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0]",1.7061154640608993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration',)",27,"[0.111, 0.0, 0.0, 0.111, 0.444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0]",0.937997869090241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",0,"[0.0, 0.0, 0.0, 0.0, 0.222, 0.0, 0.333, 0.333, 0.0, 0.0, 0.444, 0.297, 0.667, 1.0, 0.149, 0.444, 0.444, 0.667, 0.667, 0.0, 0.222]",0.0,0.0,0.0,1.8922903475674162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",1,"[0.0, 0.0, 0.0, 0.083, 0.333, 0.333, 0.333, 0.333, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 0.444, 0.0, 0.0, 0.667, 0.222, 0.112]",0.0,0.0,0.0,1.4634176699066475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Registration', 'Payment', 'Get Triage Number', 'Measure Vital Signs')",2,"[0.069, 0.044, 0.006, 0.111, 0.444, 0.0, 0.333, 0.333, 0.0, 0.0, 0.221, 0.0, 0.0, 1.0, 0.0, 0.444, 0.444, 0.667, 0.0, 0.0, 0.0]",0.0,0.0,0.0,2.3632533057639895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
